names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Woman,Woman,0,127.0,343.0,83.0,390.0
Human face,Human face,0,240.0,262.0,115.0,190.0
Clothing,Clothing,0,137.0,336.0,144.0,383.0
Person,Person,0,137.0,329.0,88.0,377.0
Skyscraper,Skyscraper,0,368.0,386.0,199.0,273.0
Human head,Human head,0,152.0,270.0,86.0,185.0
Tower,Tower,0,520.0,536.0,185.0,229.0
Skyscraper,Skyscraper,0,519.0,537.0,185.0,239.0
Dress,Dress,0,143.0,329.0,181.0,395.0
Skyscraper,Skyscraper,0,335.0,375.0,174.0,315.0
Girl,Girl,0,137.0,348.0,86.0,399.0
Skyscraper,Skyscraper,0,486.0,515.0,224.0,307.0
Skyscraper,Skyscraper,0,547.0,561.0,171.0,224.0
