names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Food,Food,0,404.0,611.0,8.0,261.0
Food,Food,0,67.0,191.0,243.0,394.0
Food,Food,0,203.0,354.0,311.0,408.0
Footwear,Footwear,0,244.0,317.0,25.0,165.0
Seafood,Seafood,0,312.0,423.0,20.0,325.0
Food,Food,0,8.0,183.0,195.0,388.0
Fish,Fish,0,309.0,415.0,3.0,333.0
Food,Food,0,179.0,297.0,136.0,283.0
Food,Food,0,7.0,191.0,0.0,150.0
Vegetable,Vegetable,0,406.0,443.0,352.0,382.0
Seafood,Seafood,0,162.0,315.0,136.0,292.0
Food,Food,0,455.0,542.0,327.0,398.0
Vegetable,Vegetable,0,376.0,406.0,359.0,404.0
Shellfish,Shellfish,0,163.0,321.0,115.0,298.0
Footwear,Footwear,0,32.0,98.0,306.0,403.0
Food,Food,0,406.0,442.0,355.0,383.0
Ball,Ball,0,506.0,557.0,264.0,312.0
Fruit,Fruit,0,376.0,406.0,357.0,402.0
Food,Food,0,378.0,404.0,360.0,403.0
Flowerpot,Flowerpot,0,445.0,551.0,312.0,408.0
Vegetable,Vegetable,0,351.0,433.0,10.0,188.0
Seafood,Seafood,0,219.0,356.0,311.0,406.0
Oyster,Oyster,0,6.0,159.0,193.0,358.0
Food,Food,0,275.0,595.0,4.0,304.0
Oyster,Oyster,0,171.0,305.0,120.0,290.0
