names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,351.0
Horse,Horse,0,150.0,314.0,120.0,290.0
Horse,Horse,0,0.0,119.0,140.0,339.0
Horse,Horse,0,50.0,163.0,153.0,268.0
Horse,Horse,0,341.0,360.0,177.0,223.0
Horse,Horse,0,278.0,314.0,168.0,216.0
Tree,Tree,0,502.0,557.0,142.0,183.0
Person,Person,0,410.0,429.0,149.0,187.0
Horse,Horse,0,367.0,431.0,144.0,253.0
Horse,Horse,0,32.0,140.0,146.0,286.0
Person,Person,0,379.0,427.0,145.0,242.0
Plant,Plant,0,544.0,608.0,236.0,282.0
Horse,Horse,0,146.0,194.0,171.0,255.0
Tree,Tree,0,416.0,602.0,145.0,249.0
Horse,Horse,0,136.0,198.0,147.0,251.0
Horse,Horse,0,335.0,354.0,173.0,218.0
Tree,Tree,0,510.0,534.0,142.0,156.0
Horse,Horse,0,146.0,258.0,113.0,248.0
Tree,Tree,0,495.0,560.0,140.0,214.0
Animal,Animal,0,339.0,361.0,174.0,222.0
