names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Whale,Whale,0,31.0,360.0,195.0,351.0
Whale,Whale,0,101.0,588.0,106.0,336.0
Whale,Whale,0,55.0,472.0,167.0,353.0
Whale,Whale,0,106.0,544.0,106.0,242.0
Dolphin,Dolphin,0,96.0,595.0,100.0,338.0
Marine mammal,Marine mammal,0,30.0,354.0,197.0,360.0
Marine mammal,Marine mammal,0,54.0,484.0,163.0,353.0
Dolphin,Dolphin,0,88.0,596.0,113.0,240.0
Marine mammal,Marine mammal,0,102.0,505.0,105.0,230.0
Marine mammal,Marine mammal,0,91.0,585.0,100.0,340.0
Fish,Fish,0,17.0,371.0,202.0,357.0
