names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Office building,Office building,0,0.0,539.0,8.0,407.0
Dog,Dog,0,316.0,467.0,216.0,309.0
Table,Table,0,36.0,513.0,241.0,405.0
Clothing,Clothing,0,267.0,373.0,185.0,270.0
Person,Person,0,259.0,371.0,134.0,276.0
Chair,Chair,0,351.0,524.0,223.0,406.0
Window,Window,0,573.0,611.0,0.0,188.0
Woman,Woman,0,258.0,371.0,134.0,278.0
House,House,0,0.0,581.0,0.0,408.0
Window,Window,0,2.0,302.0,6.0,218.0
Furniture,Furniture,0,571.0,610.0,215.0,313.0
Human face,Human face,0,294.0,326.0,165.0,199.0
Desk,Desk,0,57.0,491.0,236.0,407.0
Window,Window,0,20.0,156.0,5.0,215.0
Table,Table,0,574.0,611.0,210.0,313.0
Woman,Woman,0,240.0,374.0,134.0,372.0
Plant,Plant,0,450.0,501.0,212.0,242.0
Window,Window,0,584.0,611.0,0.0,43.0
Dog,Dog,0,321.0,480.0,229.0,363.0
Chair,Chair,0,422.0,521.0,243.0,399.0
Window,Window,0,43.0,434.0,0.0,251.0
Person,Person,0,239.0,375.0,139.0,370.0
Building,Building,0,0.0,588.0,0.0,408.0
