names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,378.0
Skyscraper,Skyscraper,0,26.0,58.0,194.0,226.0
Tower,Tower,0,136.0,152.0,185.0,207.0
Tower,Tower,0,27.0,59.0,196.0,228.0
Tower,Tower,0,166.0,185.0,183.0,206.0
Tower,Tower,0,238.0,251.0,171.0,209.0
Skyscraper,Skyscraper,0,285.0,300.0,177.0,207.0
Skyscraper,Skyscraper,0,136.0,152.0,185.0,207.0
Tower,Tower,0,161.0,194.0,201.0,240.0
Skyscraper,Skyscraper,0,165.0,186.0,183.0,206.0
Skyscraper,Skyscraper,0,237.0,253.0,170.0,210.0
Tower,Tower,0,211.0,227.0,183.0,212.0
Skyscraper,Skyscraper,0,374.0,388.0,185.0,206.0
Tower,Tower,0,285.0,299.0,177.0,207.0
Skyscraper,Skyscraper,0,64.0,73.0,184.0,209.0
Tower,Tower,0,374.0,388.0,184.0,206.0
Skyscraper,Skyscraper,0,211.0,228.0,182.0,213.0
Tower,Tower,0,67.0,85.0,231.0,258.0
