names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,510.0
Dog,Dog,0,279.0,490.0,82.0,456.0
Carnivore,Carnivore,0,206.0,334.0,311.0,430.0
Flower,Flower,0,321.0,420.0,456.0,509.0
Apple,Apple,0,477.0,603.0,396.0,510.0
Dog,Dog,0,203.0,331.0,314.0,439.0
Rabbit,Rabbit,0,513.0,593.0,234.0,436.0
Flower,Flower,0,51.0,145.0,400.0,492.0
Flower,Flower,0,150.0,245.0,400.0,493.0
Animal,Animal,0,473.0,579.0,246.0,425.0
Pumpkin,Pumpkin,0,91.0,205.0,331.0,462.0
Flower,Flower,0,225.0,345.0,409.0,501.0
Vegetable,Vegetable,0,86.0,199.0,336.0,461.0
Carnivore,Carnivore,0,272.0,528.0,57.0,440.0
Animal,Animal,0,209.0,337.0,314.0,423.0
Mammal,Mammal,0,287.0,495.0,59.0,443.0
