names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,406.0
Tree,Tree,0,402.0,611.0,49.0,381.0
Tree,Tree,0,0.0,447.0,2.0,387.0
Tree,Tree,0,8.0,268.0,0.0,147.0
Tree,Tree,0,10.0,382.0,3.0,245.0
Tree,Tree,0,403.0,478.0,80.0,158.0
Tree,Tree,0,469.0,574.0,70.0,124.0
Tree,Tree,0,3.0,207.0,-1.0,110.0
Tree,Tree,0,399.0,566.0,66.0,296.0
Tree,Tree,0,474.0,549.0,74.0,119.0
Tree,Tree,0,211.0,392.0,7.0,247.0
Tree,Tree,0,125.0,404.0,0.0,375.0
Tree,Tree,0,468.0,607.0,111.0,395.0
Tree,Tree,0,404.0,589.0,61.0,220.0
Plant,Plant,0,198.0,382.0,3.0,184.0
Plant,Plant,0,1.0,176.0,150.0,287.0
