names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,474.0
Tree,Tree,0,58.0,213.0,54.0,270.0
Tree,Tree,0,368.0,464.0,244.0,346.0
Tree,Tree,0,429.0,490.0,343.0,404.0
Tree,Tree,0,511.0,598.0,234.0,360.0
Animal,Animal,0,233.0,272.0,234.0,295.0
Tree,Tree,0,17.0,74.0,162.0,206.0
Tree,Tree,0,337.0,391.0,248.0,345.0
Tree,Tree,0,446.0,498.0,242.0,315.0
Tree,Tree,0,517.0,599.0,192.0,328.0
Tree,Tree,0,526.0,594.0,240.0,314.0
Tree,Tree,0,17.0,62.0,301.0,372.0
Tree,Tree,0,496.0,600.0,162.0,383.0
Tree,Tree,0,521.0,598.0,161.0,285.0
Deer,Deer,0,234.0,269.0,233.0,293.0
Tree,Tree,0,210.0,275.0,312.0,378.0
Tree,Tree,0,13.0,89.0,160.0,274.0
Tree,Tree,0,16.0,74.0,298.0,404.0
Tree,Tree,0,280.0,314.0,297.0,327.0
