names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,344.0
Tower,Tower,0,420.0,465.0,96.0,218.0
Tower,Tower,0,195.0,227.0,139.0,193.0
Tower,Tower,0,301.0,323.0,146.0,199.0
Tower,Tower,0,426.0,453.0,95.0,211.0
Tower,Tower,0,561.0,581.0,149.0,181.0
Tower,Tower,0,505.0,524.0,185.0,227.0
Tower,Tower,0,281.0,299.0,139.0,180.0
Tower,Tower,0,365.0,389.0,199.0,256.0
Skyscraper,Skyscraper,0,280.0,300.0,138.0,180.0
Skyscraper,Skyscraper,0,268.0,279.0,138.0,166.0
Skyscraper,Skyscraper,0,3.0,40.0,193.0,282.0
Tower,Tower,0,96.0,127.0,202.0,269.0
Tower,Tower,0,37.0,95.0,130.0,193.0
Skyscraper,Skyscraper,0,195.0,230.0,138.0,191.0
Tower,Tower,0,165.0,193.0,152.0,231.0
Tower,Tower,0,268.0,279.0,138.0,165.0
Tower,Tower,0,5.0,40.0,193.0,281.0
Tower,Tower,0,164.0,193.0,131.0,159.0
Skyscraper,Skyscraper,0,34.0,97.0,128.0,201.0
Skyscraper,Skyscraper,0,426.0,456.0,98.0,209.0
Skyscraper,Skyscraper,0,365.0,389.0,198.0,255.0
Tower,Tower,0,34.0,95.0,129.0,242.0
Skyscraper,Skyscraper,0,301.0,324.0,146.0,199.0
Tower,Tower,0,164.0,194.0,129.0,211.0
Skyscraper,Skyscraper,0,95.0,128.0,201.0,268.0
Tower,Tower,0,543.0,563.0,170.0,210.0
Skyscraper,Skyscraper,0,164.0,193.0,128.0,161.0
Tower,Tower,0,15.0,33.0,111.0,155.0
Skyscraper,Skyscraper,0,32.0,98.0,130.0,241.0
Skyscraper,Skyscraper,0,505.0,524.0,184.0,227.0
Tower,Tower,0,382.0,394.0,150.0,183.0
Tower,Tower,0,358.0,371.0,156.0,191.0
Tower,Tower,0,18.0,611.0,98.0,348.0
Skyscraper,Skyscraper,0,415.0,467.0,96.0,210.0
Tower,Tower,0,18.0,29.0,110.0,144.0
Tower,Tower,0,162.0,195.0,132.0,248.0
Skyscraper,Skyscraper,0,266.0,280.0,138.0,173.0
Skyscraper,Skyscraper,0,1.0,30.0,203.0,318.0
