names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Building,Building,0,0.0,272.0,0.0,272.0
Land vehicle,Land vehicle,0,354.0,611.0,32.0,388.0
Skyscraper,Skyscraper,0,302.0,365.0,78.0,220.0
Skyscraper,Skyscraper,0,272.0,304.0,127.0,196.0
Train,Train,0,347.0,591.0,16.0,404.0
Street light,Street light,0,286.0,327.0,64.0,220.0
Building,Building,0,374.0,597.0,0.0,243.0
Building,Building,0,258.0,294.0,176.0,223.0
Building,Building,0,359.0,610.0,0.0,370.0
Skyscraper,Skyscraper,0,304.0,336.0,96.0,208.0
Skyscraper,Skyscraper,0,371.0,409.0,55.0,138.0
