names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Building,Building,0,2.0,212.0,205.0,316.0
Skyscraper,Skyscraper,0,434.0,585.0,103.0,208.0
Skyscraper,Skyscraper,0,257.0,424.0,49.0,200.0
House,House,0,428.0,609.0,231.0,378.0
Tower,Tower,0,254.0,277.0,27.0,85.0
House,House,0,170.0,440.0,230.0,340.0
Tower,Tower,0,343.0,376.0,98.0,179.0
Window,Window,0,550.0,566.0,341.0,364.0
Window,Window,0,28.0,41.0,321.0,352.0
Building,Building,0,11.0,262.0,292.0,408.0
Building,Building,0,433.0,604.0,230.0,380.0
Window,Window,0,583.0,598.0,346.0,367.0
Tower,Tower,0,263.0,423.0,52.0,201.0
Window,Window,0,489.0,502.0,336.0,356.0
Skyscraper,Skyscraper,0,327.0,384.0,47.0,74.0
Window,Window,0,459.0,473.0,332.0,351.0
Tower,Tower,0,438.0,584.0,105.0,208.0
Building,Building,0,154.0,262.0,112.0,171.0
Skyscraper,Skyscraper,0,0.0,63.0,26.0,99.0
Building,Building,0,165.0,442.0,228.0,342.0
Window,Window,0,583.0,609.0,314.0,335.0
House,House,0,2.0,253.0,289.0,407.0
Building,Building,0,18.0,114.0,60.0,106.0
Building,Building,0,328.0,382.0,49.0,74.0
Window,Window,0,460.0,508.0,300.0,322.0
Skyscraper,Skyscraper,0,505.0,545.0,79.0,100.0
Tower,Tower,0,352.0,426.0,77.0,190.0
Building,Building,0,138.0,272.0,167.0,229.0
Building,Building,0,221.0,286.0,28.0,120.0
Building,Building,0,1.0,96.0,113.0,210.0
