names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Tree,Tree,0,438.0,611.0,4.0,198.0
Tree,Tree,0,109.0,174.0,3.0,160.0
Tree,Tree,0,283.0,322.0,88.0,164.0
Tree,Tree,0,25.0,171.0,1.0,168.0
Tree,Tree,0,456.0,528.0,0.0,103.0
Tree,Tree,0,85.0,136.0,0.0,158.0
Tree,Tree,0,256.0,283.0,87.0,169.0
Tree,Tree,0,32.0,103.0,1.0,148.0
Tree,Tree,0,7.0,54.0,4.0,144.0
Tree,Tree,0,255.0,307.0,85.0,177.0
Tree,Tree,0,446.0,493.0,72.0,137.0
Tree,Tree,0,258.0,292.0,120.0,174.0
Tree,Tree,0,269.0,324.0,85.0,176.0
Tree,Tree,0,210.0,230.0,101.0,175.0
Tree,Tree,0,441.0,509.0,71.0,186.0
Plant,Plant,0,290.0,327.0,168.0,187.0
