names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Skyscraper,Skyscraper,0,405.0,460.0,80.0,189.0
Boat,Boat,0,0.0,21.0,210.0,253.0
Skyscraper,Skyscraper,0,506.0,531.0,128.0,189.0
Tower,Tower,0,262.0,303.0,138.0,199.0
Skyscraper,Skyscraper,0,259.0,307.0,137.0,204.0
Skyscraper,Skyscraper,0,476.0,509.0,126.0,194.0
Skyscraper,Skyscraper,0,545.0,565.0,122.0,182.0
Tower,Tower,0,73.0,90.0,164.0,244.0
Tower,Tower,0,508.0,530.0,129.0,189.0
Tower,Tower,0,547.0,565.0,124.0,180.0
Tower,Tower,0,147.0,162.0,168.0,196.0
Tree,Tree,0,147.0,165.0,254.0,275.0
Tower,Tower,0,412.0,455.0,83.0,179.0
Skyscraper,Skyscraper,0,540.0,552.0,114.0,187.0
Skyscraper,Skyscraper,0,382.0,408.0,150.0,196.0
Tower,Tower,0,382.0,406.0,151.0,198.0
Tower,Tower,0,478.0,509.0,131.0,192.0
Boat,Boat,0,25.0,58.0,236.0,251.0
Tower,Tower,0,365.0,416.0,336.0,379.0
Tower,Tower,0,414.0,438.0,131.0,195.0
Skyscraper,Skyscraper,0,570.0,586.0,149.0,180.0
Tower,Tower,0,542.0,562.0,116.0,184.0
Tower,Tower,0,540.0,552.0,116.0,185.0
Skyscraper,Skyscraper,0,413.0,438.0,131.0,194.0
Tree,Tree,0,379.0,433.0,278.0,316.0
Tree,Tree,0,1.0,49.0,354.0,403.0
Tower,Tower,0,75.0,93.0,188.0,242.0
Tower,Tower,0,441.0,470.0,156.0,202.0
Skyscraper,Skyscraper,0,568.0,587.0,150.0,200.0
Skyscraper,Skyscraper,0,432.0,458.0,87.0,169.0
Tower,Tower,0,570.0,586.0,148.0,180.0
Tower,Tower,0,574.0,604.0,171.0,228.0
