names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,159.0
Dog,Dog,0,54.0,120.0,60.0,158.0
Dog,Dog,0,435.0,503.0,65.0,158.0
Dog,Dog,0,488.0,536.0,83.0,155.0
Dog,Dog,0,247.0,314.0,53.0,156.0
Cat,Cat,0,182.0,227.0,87.0,158.0
Cat,Cat,0,374.0,424.0,77.0,159.0
Dog,Dog,0,119.0,193.0,63.0,155.0
Cat,Cat,0,307.0,346.0,78.0,161.0
Cat,Cat,0,216.0,262.0,81.0,148.0
Dog,Dog,0,452.0,520.0,71.0,156.0
Carnivore,Carnivore,0,128.0,193.0,64.0,156.0
Cat,Cat,0,417.0,453.0,103.0,159.0
Cat,Cat,0,334.0,400.0,49.0,158.0
Carnivore,Carnivore,0,335.0,399.0,56.0,151.0
Dog,Dog,0,333.0,397.0,55.0,143.0
Dog,Dog,0,110.0,146.0,106.0,158.0
Animal,Animal,0,334.0,396.0,54.0,148.0
