names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,409.0
Tree,Tree,0,2.0,147.0,162.0,397.0
Tree,Tree,0,11.0,47.0,0.0,209.0
Tree,Tree,0,400.0,510.0,216.0,404.0
Tree,Tree,0,517.0,609.0,0.0,223.0
Tree,Tree,0,483.0,611.0,229.0,409.0
Tree,Tree,0,1.0,603.0,0.0,409.0
Tree,Tree,0,416.0,528.0,5.0,236.0
Tree,Tree,0,248.0,599.0,4.0,391.0
Tree,Tree,0,389.0,483.0,1.0,245.0
Tree,Tree,0,3.0,24.0,0.0,146.0
Tree,Tree,0,371.0,407.0,0.0,218.0
Tree,Tree,0,398.0,453.0,3.0,233.0
Tree,Tree,0,11.0,104.0,3.0,232.0
Tree,Tree,0,160.0,580.0,0.0,286.0
Tree,Tree,0,3.0,238.0,11.0,312.0
Tree,Tree,0,15.0,407.0,6.0,366.0
Tree,Tree,0,308.0,389.0,0.0,233.0
Tree,Tree,0,281.0,317.0,0.0,197.0
Tree,Tree,0,41.0,91.0,5.0,158.0
Flower,Flower,0,249.0,290.0,382.0,409.0
Tree,Tree,0,522.0,567.0,1.0,218.0
Tree,Tree,0,359.0,590.0,6.0,348.0
Tree,Tree,0,239.0,273.0,8.0,222.0
Tree,Tree,0,132.0,202.0,35.0,190.0
Tree,Tree,0,7.0,254.0,86.0,389.0
Tree,Tree,0,193.0,286.0,0.0,224.0
Tree,Tree,0,563.0,611.0,0.0,201.0
Tree,Tree,0,30.0,74.0,7.0,176.0
Tree,Tree,0,54.0,107.0,0.0,170.0
