names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,344.0
Giraffe,Giraffe,0,215.0,291.0,79.0,215.0
Giraffe,Giraffe,0,24.0,152.0,50.0,236.0
Giraffe,Giraffe,0,324.0,395.0,102.0,199.0
Elephant,Elephant,0,390.0,571.0,148.0,247.0
Antelope,Antelope,0,472.0,554.0,239.0,312.0
Antelope,Antelope,0,548.0,611.0,241.0,314.0
Antelope,Antelope,0,350.0,462.0,232.0,335.0
Elephant,Elephant,0,536.0,605.0,158.0,242.0
Antelope,Antelope,0,94.0,154.0,222.0,302.0
Giraffe,Giraffe,0,279.0,310.0,160.0,196.0
Deer,Deer,0,350.0,455.0,236.0,331.0
Antelope,Antelope,0,477.0,529.0,243.0,313.0
Deer,Deer,0,544.0,611.0,243.0,316.0
Deer,Deer,0,189.0,233.0,177.0,231.0
Deer,Deer,0,180.0,235.0,231.0,331.0
Deer,Deer,0,0.0,50.0,239.0,324.0
Deer,Deer,0,142.0,192.0,220.0,325.0
Antelope,Antelope,0,325.0,396.0,233.0,319.0
Antelope,Antelope,0,137.0,190.0,218.0,325.0
Antelope,Antelope,0,494.0,541.0,240.0,313.0
Elephant,Elephant,0,486.0,583.0,153.0,242.0
Deer,Deer,0,207.0,278.0,225.0,308.0
Antelope,Antelope,0,0.0,51.0,239.0,327.0
Deer,Deer,0,535.0,589.0,243.0,311.0
Antelope,Antelope,0,181.0,237.0,227.0,330.0
Deer,Deer,0,94.0,153.0,225.0,304.0
Deer,Deer,0,52.0,111.0,229.0,313.0
Antelope,Antelope,0,536.0,589.0,241.0,309.0
Deer,Deer,0,482.0,538.0,240.0,312.0
Antelope,Antelope,0,52.0,113.0,226.0,314.0
Antelope,Antelope,0,462.0,507.0,235.0,313.0
Antelope,Antelope,0,82.0,123.0,226.0,301.0
