names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Guitar,Guitar,0,12.0,366.0,52.0,408.0
Guitar,Guitar,0,13.0,550.0,21.0,402.0
Skyscraper,Skyscraper,0,216.0,584.0,35.0,395.0
Skyscraper,Skyscraper,0,541.0,610.0,61.0,156.0
Skyscraper,Skyscraper,0,347.0,611.0,48.0,388.0
Skyscraper,Skyscraper,0,0.0,568.0,32.0,408.0
Tower,Tower,0,546.0,606.0,63.0,159.0
Skyscraper,Skyscraper,0,489.0,607.0,93.0,388.0
Musical instrument,Musical instrument,0,0.0,572.0,43.0,405.0
Musical instrument,Musical instrument,0,3.0,366.0,47.0,388.0
