names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,339.0
Skyscraper,Skyscraper,0,47.0,145.0,16.0,239.0
Skyscraper,Skyscraper,0,156.0,211.0,100.0,230.0
Skyscraper,Skyscraper,0,0.0,50.0,116.0,238.0
Skyscraper,Skyscraper,0,142.0,196.0,58.0,215.0
Skyscraper,Skyscraper,0,279.0,332.0,50.0,121.0
Skyscraper,Skyscraper,0,219.0,272.0,50.0,223.0
Skyscraper,Skyscraper,0,224.0,269.0,118.0,240.0
Skyscraper,Skyscraper,0,284.0,330.0,119.0,235.0
Tree,Tree,0,1.0,100.0,267.0,338.0
Skyscraper,Skyscraper,0,562.0,610.0,61.0,177.0
Tree,Tree,0,147.0,182.0,283.0,324.0
Skyscraper,Skyscraper,0,410.0,447.0,136.0,241.0
Tree,Tree,0,181.0,220.0,287.0,325.0
Skyscraper,Skyscraper,0,325.0,376.0,108.0,212.0
Tree,Tree,0,241.0,291.0,293.0,328.0
Tower,Tower,0,283.0,330.0,51.0,121.0
Tower,Tower,0,145.0,195.0,59.0,213.0
Tower,Tower,0,0.0,47.0,119.0,230.0
Tower,Tower,0,562.0,609.0,64.0,175.0
Skyscraper,Skyscraper,0,214.0,275.0,49.0,155.0
Tower,Tower,0,217.0,271.0,53.0,207.0
Skyscraper,Skyscraper,0,15.0,104.0,199.0,270.0
Tower,Tower,0,48.0,145.0,12.0,232.0
Tree,Tree,0,107.0,161.0,230.0,275.0
Skyscraper,Skyscraper,0,502.0,564.0,84.0,188.0
Tower,Tower,0,157.0,214.0,107.0,233.0
Skyscraper,Skyscraper,0,258.0,310.0,80.0,232.0
Skyscraper,Skyscraper,0,447.0,508.0,129.0,229.0
Tree,Tree,0,269.0,300.0,227.0,268.0
Tower,Tower,0,253.0,304.0,76.0,230.0
Tower,Tower,0,326.0,375.0,111.0,211.0
Tower,Tower,0,410.0,447.0,135.0,242.0
Skyscraper,Skyscraper,0,450.0,513.0,112.0,190.0
Tower,Tower,0,284.0,331.0,121.0,233.0
Tower,Tower,0,223.0,269.0,112.0,240.0
Skyscraper,Skyscraper,0,584.0,611.0,163.0,241.0
Tree,Tree,0,227.0,247.0,235.0,259.0
Tower,Tower,0,505.0,564.0,84.0,197.0
Skyscraper,Skyscraper,0,385.0,443.0,115.0,225.0
Tower,Tower,0,524.0,587.0,142.0,211.0
Tower,Tower,0,506.0,561.0,87.0,153.0
Skyscraper,Skyscraper,0,522.0,587.0,141.0,212.0
Skyscraper,Skyscraper,0,448.0,508.0,110.0,158.0
Skyscraper,Skyscraper,0,507.0,559.0,85.0,158.0
Tower,Tower,0,444.0,508.0,144.0,235.0
Skyscraper,Skyscraper,0,329.0,357.0,186.0,247.0
Tower,Tower,0,219.0,272.0,49.0,133.0
Tree,Tree,0,55.0,92.0,266.0,315.0
Skyscraper,Skyscraper,0,13.0,52.0,186.0,232.0
Skyscraper,Skyscraper,0,178.0,216.0,194.0,241.0
Tower,Tower,0,240.0,325.0,52.0,240.0
