names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,408.0
Tree,Tree,0,502.0,605.0,3.0,247.0
Tree,Tree,0,401.0,480.0,7.0,221.0
Tree,Tree,0,103.0,215.0,51.0,223.0
Tree,Tree,0,218.0,279.0,120.0,211.0
Tree,Tree,0,269.0,315.0,91.0,211.0
Tree,Tree,0,5.0,86.0,8.0,250.0
Tree,Tree,0,456.0,531.0,1.0,222.0
Tree,Tree,0,380.0,404.0,101.0,202.0
Tree,Tree,0,452.0,499.0,3.0,215.0
Tree,Tree,0,29.0,129.0,9.0,239.0
Tree,Tree,0,203.0,252.0,18.0,167.0
Tree,Tree,0,10.0,432.0,0.0,257.0
Plant,Plant,0,527.0,611.0,276.0,336.0
Tree,Tree,0,380.0,397.0,102.0,185.0
Tree,Tree,0,111.0,207.0,0.0,80.0
Tree,Tree,0,227.0,286.0,83.0,209.0
Tree,Tree,0,386.0,431.0,75.0,221.0
Tree,Tree,0,347.0,374.0,144.0,210.0
Tree,Tree,0,233.0,283.0,38.0,178.0
Tree,Tree,0,317.0,343.0,149.0,209.0
Tree,Tree,0,458.0,513.0,40.0,218.0
Tree,Tree,0,375.0,411.0,98.0,213.0
Tree,Tree,0,2.0,251.0,0.0,262.0
Tree,Tree,0,364.0,382.0,143.0,201.0
Tree,Tree,0,2.0,62.0,3.0,217.0
Tree,Tree,0,442.0,606.0,0.0,282.0
Tree,Tree,0,343.0,362.0,151.0,213.0
Tree,Tree,0,351.0,367.0,143.0,207.0
Tree,Tree,0,159.0,229.0,159.0,232.0
Flower,Flower,0,530.0,556.0,281.0,311.0
