names,description,rating,coord x0,coord x1,coord y0,coord y1
all_within,,0,0.0,-1.0,0.0,-1.0
all_without,,0,0.0,612.0,0.0,350.0
Tree,Tree,0,194.0,243.0,228.0,273.0
Tree,Tree,0,247.0,294.0,237.0,269.0
Tree,Tree,0,498.0,532.0,236.0,266.0
Plant,Plant,0,435.0,486.0,271.0,321.0
Tree,Tree,0,533.0,554.0,240.0,255.0
Tree,Tree,0,415.0,430.0,239.0,255.0
Tree,Tree,0,121.0,140.0,225.0,242.0
Plant,Plant,0,40.0,144.0,240.0,293.0
Tree,Tree,0,557.0,576.0,243.0,262.0
Tree,Tree,0,48.0,140.0,240.0,295.0
Tree,Tree,0,311.0,331.0,185.0,224.0
Tree,Tree,0,384.0,405.0,246.0,260.0
